run,pair_name,signal_name,expression,primary_mechanism,expected_sign,generation,hypothesis,confidence,coder_a,coder_b,coder_a_confidence,coder_b_confidence,adjudicated,adjudicator_confidence,record_id
B1,accrual_distress,WorkingCapitalAccrualsFragilityAmplified,"MUL(WINSOR(RATIO(SUB(DELTA(wcap, 1), dp), at), 1), SUMRANK(RATIO(lt, at), NEG(RATIO(SUB(act, lct), at))))",liquidity_constrained_accruals,negative,0,Balance-sheet working-capital accruals are less sustainable when the firm is simultaneously levered and short of liquid working capital; the fragility rank acts as a continuous amplifier of the accrual signal's return predictability.,4,liquidity_constrained_accruals,liquidity_constrained_accruals,4,4,false,,m00000
B1,accrual_distress,AccrualMagnitudeOpacityInFragileFirms,"MUL(WINSOR(ABS(RATIO(SUB(ADD(ib, dp), oancf), at)), 1), SUMRANK(RATIO(lt, at), NEG(RATIO(che, lct))))",opaque_accrual_accounts,negative,1,"In financially fragile firms the accrual problem is two-sided rather than directional: large positive accruals reflect earnings inflation while large negative accruals reflect fire-sale liquidation of receivables and inventory and forced write-downs, so it is the *magnitude* of the non-cash wedge between earnings and operating cash flow — accounting opacity — that predicts poor returns once the firm is liability-heavy and cash-short.",4,opaque_accrual_accounts,liquidity_constrained_accruals,3,3,true,4,m00001
B1,accrual_distress,AccrualsAtOwnLeverageHighWater,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), TS_RANK(RATIO(lt, at), 5))",levered_accrual_pressure,negative,1,Distress that matters for accrual quality is a deterioration relative to the firm's own norm: accrual-inflated earnings reported when leverage sits at its five-year high reflect balance-sheet stress rather than a stable capital-structure policy.,5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00002
B1,accrual_distress,AccrualsPricedOnlyWhenLevered,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), INDICATOR(RATIO(lt, at), 0.65))",levered_accrual_pressure,negative,1,"The accrual-return relation exists only in the levered segment of the cross-section: when liabilities exceed roughly two-thirds of assets, accrual-inflated earnings signal covenant-driven earnings management and imminent reversal, whereas in low-leverage firms accruals mostly reflect benign operating growth and carry no return information.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00003
B1,accrual_distress,AccrualsUnderRefinancingPressure,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), SUMRANK(RATIO(dlc, lt), NEG(RATIO(che, lct))))",maturity_wall_cash_gap,negative,1,"What makes accruals dangerous is not leverage size but its maturity: when debt is concentrated at the short end and cash cannot cover current liabilities, non-cash earnings must convert to cash before the next rollover, so accrual reversals are resolved through distressed financing or write-downs.",5,maturity_wall_cash_gap,maturity_wall_cash_gap,5,5,false,,m00004
B1,accrual_distress,DepreciationUnderProvisionInFragileFirms,"MUL(WINSOR(NEG(DELTA(RATIO(dp, at), 1)), 1), SUMRANK(RATIO(dltt, at), NEG(RATIO(re, at))))",earnings_validation_gap,negative,1,Fragile firms manage earnings through the depreciation lever — extending asset lives or shifting mix to slow write-offs — so a falling depreciation intensity in firms with heavy long-term debt and a retained-earnings deficit indicates non-cash earnings support that will reverse.,5,earnings_validation_gap,earnings_validation_gap,5,5,false,,m00005
B1,accrual_distress,InventoryBuildupInFragileFirms,"MUL(WINSOR(RATIO(NEG(invch), at), 1), SUMRANK(RATIO(lt, at), NEG(RATIO(che, lct))))",demand_deterioration_accruals,negative,1,"Inventory accumulation is the accrual component most prone to reversal through markdowns, and in liability-heavy, cash-poor firms unsold inventory both signals deteriorating demand and consumes the liquidity needed to service near-term obligations, so inventory-driven accruals should be far more damaging for fragile firms than for healthy ones.",3,demand_deterioration_accruals,demand_deterioration_accruals,3,3,false,,m00006
B1,accrual_distress,AccrualsInFirmWorstRevenueYear,"MUL(WINSOR(RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at), 1), TS_RANK(NEG(GROWTH(sale, 1)), 5))",demand_deterioration_accruals,negative,2,"Operating distress is best identified relative to a firm's own revenue trajectory: when sales growth is the worst in five years, working-capital accruals cannot reflect benign expansion and instead indicate unsold inventory, stretched credit terms, and imminent write-downs.",5,demand_deterioration_accruals,demand_deterioration_accruals,5,5,false,,m00007
B1,accrual_distress,DoubleWithinFirmAccrualLeverageState,"MUL(TS_RANK(RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at), 5), TS_RANK(RATIO(lt, at), 5))",levered_accrual_pressure,negative,2,"The priced configuration is a joint within-firm state: this year's accruals are unusually high *for this firm* at the same time that its leverage is unusually high *for this firm*, which identifies an episode of earnings management under fresh balance-sheet stress rather than a permanent accounting or capital-structure style.",5,levered_accrual_pressure,levered_accrual_pressure,5,5,false,,m00008
B1,accrual_distress,OpacityMagnitudeAtOwnLeverageHighWater,"MUL(WINSOR(ABS(RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at)), 1), TS_RANK(RATIO(lt, at), 5))",opaque_accrual_accounts,negative,2,"What is priced in fragile firms is the size of the wedge between accounting earnings and cash generation regardless of direction — inflation on one side, liquidation and write-downs on the other — so absolute accruals interacted with firm-relative leverage stress should predict low returns.",4,opaque_accrual_accounts,levered_accrual_pressure,4,4,true,4,m00009
B1,accrual_distress,ReceivableAccrualsInFragileFirms,"MUL(WINSOR(RATIO(NEG(recch), at), 1), SUMRANK(RATIO(lt, at), NEG(RATIO(che, lct))))",slow_conversion_working_capital,negative,2,"If fragility amplification is a generic property of accrual reversals, it should appear in the receivable component exactly as it does in inventory; if it is specific to physical inventory markdowns, the receivable version will be materially weaker despite an identical conditioning structure.",3,slow_conversion_working_capital,liquidity_constrained_accruals,3,3,true,3,m00010
B1,accrual_distress,WriteDownAccrualsInLeveredFirms,"MUL(MUL(WINSOR(ABS(RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at)), 1), INDICATOR(NEG(RATIO(SUB(SUB(SUB(DELTA(act, 1), DELTA(che, 1)), SUB(DELTA(lct, 1), DELTA(dlc, 1))), dp), at)), 0)), RANK(RATIO(lt, at)))",liquidity_constrained_accruals,negative,2,"Large *negative* accruals in levered firms are not the good news that Sloan logic implies but a distress symptom — receivable and inventory liquidation, working-capital drawdown to service debt, and asset write-downs — and therefore precede low, not high, returns.",3,liquidity_constrained_accruals,levered_accrual_pressure,3,3,true,3,m00011
B1,accrual_distress,AbnormalAccrualDeviationInFragileFirms,"MUL(WINSOR(SUB(RATIO(SUB(ADD(ib, dp), oancf), at), MA(RATIO(SUB(ADD(ib, dp), oancf), at), 3)), 1), SUMRANK(RATIO(lt, at), NEG(RATIO(che, lct))))",levered_accrual_pressure,negative,3,"Only the transitory part of accruals reverses: a firm's normal accrual intensity reflects its business model (credit terms, inventory cycle), whereas this year's deviation from that norm is the discretionary component, and in liability-heavy, cash-poor firms that deviation is disproportionately earnings management rather than genuine operating change.",4,levered_accrual_pressure,liquidity_constrained_accruals,3,3,true,4,m00012
B1,accrual_distress,CashFlowAccrualsAtOwnCashToDebtTrough,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), TS_RANK(NEG(RATIO(che, lt)), 5))",liquidity_constrained_accruals,negative,3,"The binding fragility state is a firm-relative liquidity trough: when cash relative to total liabilities is the lowest in five years, accrual-based earnings must convert to cash imminently to meet obligations, so unconverted accruals precede the sharpest disappointments.",5,liquidity_constrained_accruals,liquidity_constrained_accruals,5,5,false,,m00013
B1,accrual_distress,DebtFundedAccrualBuildup,"MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), TS_RANK(RATIO(DELTA(lt, 1), at), 5))",levered_accrual_pressure,negative,3,"Accruals become dangerous when the working-capital investment they represent is being financed by new liabilities rather than by internally generated cash: the firm is borrowing to bridge the gap between reported earnings and cash earnings, which is unsustainable and precedes low returns.",4,levered_accrual_pressure,levered_accrual_pressure,4,4,false,,m00014
B1,accrual_distress,HardCurrentAssetBuildInRevenueCollapse,"MUL(WINSOR(RATIO(NEG(ADD(recch, invch)), at), 1), TS_RANK(NEG(GROWTH(sale, 1)), 5))",demand_deterioration_accruals,negative,3,"Receivable and inventory build-ups are the two accrual components whose reversal is realised through bad-debt provisions and markdowns; when they grow in a firm's worst revenue year, the eventual write-down is close to certain and returns are correspondingly poor.",5,demand_deterioration_accruals,demand_deterioration_accruals,5,5,false,,m00015
B1,accrual_distress,PositiveAccrualTailInFragileFirms,"MUL(MUL(WINSOR(RATIO(SUB(ADD(ib, dp), oancf), at), 1), INDICATOR(RATIO(SUB(ADD(ib, dp), oancf), at), 0)), SUMRANK(RATIO(lt, at), NEG(RATIO(che, lct))))",liquidity_constrained_accruals,negative,3,"Fragility amplification operates only on the earnings-inflation side of the accrual distribution: positive accruals in liability-heavy, cash-poor firms reflect discretionary income creation that will reverse, whereas negative accruals in those same firms are genuine deleveraging that Sloan logic rewards.",4,liquidity_constrained_accruals,liquidity_constrained_accruals,4,3,false,,m00016
